,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Exam 1 Score,Exam 2 Score,Exam 3 Score,Homework Score,Quiz Score,Final Score,Ceiling Score,Final Grade
mxl12345,malaika.lambert@univ.edu,2,Malaika,Lambert,63.0,80,57,80,78,80,83,100,61,70,88,90,42,50,58,70,45,60,37,60,60,100,91,100,93,100,8,10,10,13,6,0.6,0.91,0.93,0.827027027027027,0.682149223325694,0.795955577808519,80.0,B
smj00936,stacy.johnson@univ.edu,2,Stacy,Johnson,74.0,80,55,80,60,80,67,100,46,70,85,90,43,50,42,70,59,60,48,60,96,100,80,100,86,100,6,14,11,7,7,0.96,0.8,0.86,0.7824324324324324,0.6418360071301248,0.7625237751120104,77.0,C
dma58910,daisy.anderson@univ.edu,2,Daisy,Anderson,64.0,80,52,80,57,80,84,100,54,70,63,90,34,50,45,70,38,60,45,60,92,100,66,100,94,100,9,6,10,6,7,0.92,0.66,0.94,0.7243243243243244,0.5636643748408454,0.7118290421819834,72.0,C
hsw06874,holly.watson@univ.edu,2,Holly,Watson,66.0,80,51,80,66,80,79,100,53,70,55,90,35,50,61,70,49,60,49,60,81,100,100,100,90,100,11,12,10,6,5,0.81,1.0,0.9,0.7621621621621621,0.6466946778711484,0.7743732682262094,78.0,C
bkr19538,brandy.reilly@univ.edu,2,Brandy,Reilly,70.0,80,80,80,55,80,84,100,42,70,79,90,44,50,60,70,45,60,52,60,69,100,67,100,95,100,5,13,6,14,10,0.69,0.67,0.95,0.8256756756756757,0.7014973262032086,0.7847194681312328,79.0,C
lxc64780,lorraine.carter@univ.edu,2,Lorraine,Carter,50.0,80,66,80,62,80,80,100,42,70,66,90,38,50,56,70,45,60,43,60,68,100,69,100,99,100,5,13,14,12,10,0.68,0.69,0.99,0.7405405405405405,0.7670435446906035,0.7778292796233972,78.0,C
rxd29805,robert.douglas@univ.edu,2,Robert,Douglas,57.0,80,53,80,73,80,78,100,42,70,83,90,41,50,69,70,44,60,39,60,86,100,67,100,87,100,8,9,13,10,8,0.86,0.67,0.87,0.7824324324324324,0.6945861981156098,0.761848832407656,77.0,C
sem28474,stephen.miller@univ.edu,2,Stephen,Miller,50.0,80,48,80,63,80,77,100,57,70,81,90,49,50,69,70,55,60,41,60,72,100,70,100,97,100,8,10,7,13,4,0.72,0.7,0.97,0.7972972972972973,0.6135217723453018,0.7544754506225094,76.0,C
bjg14618,benjamin.graham@univ.edu,2,Benjamin,Graham,64.0,80,52,80,58,80,87,100,60,70,89,90,41,50,45,70,50,60,37,60,81,100,73,100,81,100,7,15,6,6,7,0.81,0.73,0.81,0.7878378378378378,0.6002419149477973,0.7302077096194743,74.0,C
hxg56446,heidi.glover@univ.edu,2,Heidi,Glover,65.0,80,52,80,60,80,65,100,45,70,81,90,47,50,43,70,51,60,48,60,60,100,83,100,83,100,4,14,10,7,9,0.6,0.83,0.83,0.7527027027027027,0.6270409982174688,0.7266933805463217,73.0,C
sbr74322,sherry.rogers@univ.edu,2,Sherry,Rogers,58.0,80,60,80,49,80,68,100,50,70,75,90,33,50,44,70,55,60,56,60,63,100,92,100,80,100,4,12,17,9,11,0.63,0.92,0.8,0.7405405405405405,0.7446320346320345,0.7631058266058266,77.0,C
skr62062,steven.roberts@univ.edu,2,Steven,Roberts,56.0,80,75,80,76,80,92,100,59,70,74,90,38,50,60,70,59,60,49,60,70,100,80,100,67,100,8,14,8,9,8,0.7,0.8,0.67,0.8621621621621621,0.6881436210847975,0.7668079511903042,77.0,C
djd31335,desiree.delgado@univ.edu,2,Desiree,Delgado,69.0,80,74,80,74,80,64,100,60,70,55,90,31,50,55,70,55,60,51,60,88,100,69,100,78,100,4,7,9,8,4,0.88,0.69,0.78,0.7945945945945946,0.4528953399541635,0.6837064398240869,69.0,D
smg03171,sherry.good@univ.edu,2,Sherry,Good,50.0,80,48,80,77,80,94,100,54,70,77,90,44,50,62,70,48,60,47,60,89,100,88,100,64,100,6,12,7,7,9,0.89,0.88,0.64,0.8121621621621622,0.6014438502673797,0.7337980199450788,74.0,C
ksb85997,kelsey.brown@univ.edu,2,Kelsey,Brown,78.0,80,68,80,52,80,80,100,51,70,70,90,49,50,46,70,59,60,56,60,80,100,69,100,83,100,10,15,9,14,4,0.8,0.69,0.83,0.822972972972973,0.754367201426025,0.7889993496169967,79.0,C
wad63934,william.daniel@univ.edu,2,William,Daniel,48.0,80,60,80,72,80,76,100,65,70,60,90,38,50,62,70,51,60,36,60,84,100,91,100,95,100,9,10,10,9,5,0.84,0.91,0.95,0.7675675675675676,0.6265215176979883,0.7704834823364235,78.0,C
amc28428,adam.cooper@univ.edu,2,Adam,Cooper,80.0,80,78,80,78,80,87,100,65,70,55,90,44,50,44,70,45,60,53,60,65,100,63,100,90,100,4,10,16,7,12,0.65,0.63,0.9,0.85,0.6942959001782532,0.7787887700534759,78.0,C
lmb95641,lauren.brock@univ.edu,2,Lauren,Brock,74.0,80,58,80,62,80,82,100,54,70,87,90,30,50,51,70,60,60,54,60,75,100,72,100,96,100,7,14,11,12,7,0.75,0.72,0.96,0.827027027027027,0.7314463967405145,0.8037447298329652,81.0,B
aes07091,andrea.smith@univ.edu,2,Andrea,Smith,80.0,80,71,80,61,80,73,100,61,70,79,90,47,50,62,70,43,60,41,60,66,100,97,100,86,100,5,10,7,12,12,0.66,0.97,0.86,0.8351351351351352,0.6780239368474662,0.7964612351082939,80.0,B
dsg54218,desiree.garcia@univ.edu,2,Desiree,Garcia,68.0,80,78,80,77,80,95,100,60,70,73,90,35,50,47,70,45,60,55,60,81,100,99,100,70,100,8,10,6,10,6,0.81,0.99,0.7,0.8554054054054054,0.5922332569391393,0.764332139243904,77.0,C
